,angles
0,-0.0
1,0.0
2,0.0
3,-0.0
4,0.0
5,-0.0
6,-0.0
7,0.0
8,-0.658543177563603
9,-1.6846843178962914
10,-0.0
11,-11.309932474020215
12,-4.763641690726178
13,-3.2704879231835657
14,-7.125016348901798
15,-3.6913859864512757
16,-13.134022306396325
17,-2.0454084888872277
18,-16.69924423399362
19,-27.552811576717797
20,-44.3414568224364
21,-85.51539399045538
22,-108.43494882292201
23,-146.79342968491048
24,-169.7778313663639
25,178.40885972880542
26,180.0
27,178.89829388479365
28,179.0759546472273
29,-180.0
30,-169.69515353123398
31,-156.80140948635182
32,-132.42085249971657
33,-93.46822925891715
34,-78.69006752597979
35,-78.46537934635528
36,-78.46537934635528
37,-78.69006752597979
38,-80.69005982501396
39,-88.8542371618249
40,-119.05460409907717
41,-128.6598082540901
42,-149.03624346792648
43,-167.90524292298792
44,174.47245984834385
45,178.97696981133217
46,176.63353933657018
47,176.63353933657018
48,171.46923439005187
49,159.3410899366925
50,96.25403274391647
51,61.741970385293115
52,-2.602562202499806
53,-0.0
54,-0.0
55,0.0
56,-0.0
57,0.0
58,-0.0
59,-1.507435758774968
60,-1.0050860052541812
61,-3.576334374997351
62,-3.8140748342903543
63,0.0
64,-2.8624052261117474
65,-4.085616779974877
66,-13.348727113287381
67,-7.744710546422915
68,0.0
69,-0.0
70,
